"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","oli","eag","lag","rid","gnl","gnn","odl","odn","cll","cln","phl","phn","idt","ids","rss","eag.1","lag.1","cxi","ein","lin","fml","fmn","rst","eid","idf"
"1:2549","1585888","occ","224045","Taeniopteris lutzae","3","56180","Taeniopteris","5","56180","Triassic",NA,"252.17","201.3","78997;78997","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","lutzae",NA,252.17,201.3,"16","16","16",NA,NA,NA,NA,NA
"1:2550","1585890","occ","224045","Taeniopteris thomsoniana","3","56180","Taeniopteris","5","56180","Triassic",NA,"252.17","201.3","78997;78997","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","thomsoniana",NA,252.17,201.3,"16","16","16",NA,NA,NA,NA,NA
"1:2551","1585891","occ","224045","Taeniopteris troncosoi","3","56180","Taeniopteris","5","56180","Triassic",NA,"252.17","201.3","78997;78997","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","troncosoi",NA,252.17,201.3,"16","16","16",NA,NA,NA,NA,NA
"1:2552","1585892","occ","224045","Taeniopteris vittata","3","404557","Taeniopteris vittata","3","404557","Triassic",NA,"252.17","201.3","78997;78997","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","vittata",NA,252.17,201.3,"16","16","16",NA,NA,NA,NA,NA
"1:2553","1585893","occ","224046","Taeniopteris lutzae","3","56180","Taeniopteris","5","56180","Triassic",NA,"252.17","201.3","78997;78997","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","lutzae",NA,252.17,201.3,"16","16","16",NA,NA,NA,NA,NA
"1:2554","1585894","occ","224047","Taeniopteris plicatella","3","56180","Taeniopteris","5","56180","Triassic",NA,"252.17","201.3","78997;78997","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","plicatella",NA,252.17,201.3,"16","16","16",NA,NA,NA,NA,NA
"1:2555","1585895","occ","224047","Taeniopteris wianamattae","3","56180","Taeniopteris","5","56180","Triassic",NA,"252.17","201.3","78997;78997","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","wianamattae",NA,252.17,201.3,"16","16","16",NA,NA,NA,NA,NA
"1:2556","1585896","occ","224047","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Triassic",NA,"252.17","201.3","78997;78997","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,252.17,201.3,"16","16","16",NA,NA,NA,NA,NA
"1:2557","1589624","occ","224645","Angiopteridium ensis","3","460761","Taeniopteris ensis","3","460762","Late Jurassic",NA,"163.5","145","80975;80975","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Angiopteridium","ensis",NA,163.5,145,"41","41","41",NA,NA,NA,NA,NA
"1:2558","1589673","occ","224678","Pterophyllum fissum n. sp.","3","419077","Nilssonia fissa","3","419078","Late Jurassic",NA,"163.5","145","80975;80975","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pterophyllum","fissum","n. sp.",163.5,145,"41","41","41",NA,NA,NA,NA,NA
"1:2559","1589674","occ","224679","Anomozamites fissus","3","453952","Nilssonia fissa","3","419078","Late Jurassic",NA,"163.5","145","80975;80975","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Anomozamites","fissus",NA,163.5,145,"41","41","41",NA,NA,NA,NA,NA
"1:2560","1589676","occ","224649","Anthrophyopsis sp.","5","404653","Anthrophyopsis","5","404653","Lopingian",NA,"259.9","252.17","80975;80975","Anthrophyopsis","404653","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Anthrophyopsis","sp.",NA,259.9,252.17,"771","771","771",NA,NA,NA,NA,NA
